Site,Species,Textural_Class,pH,Conductivity,Nitrate_N,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Sand,Silt,Clay,Organic_Matter
LAF,AGHY,Silt_Loam,5.1,103,3,49,120,842,106,12,16,29,54,17,1.59
LAF,POAU,Silt_Loam,5.1,103,4,53,118,814,101,11,14,33,52,15,3.36
LAF,ELVI,Silt_Loam,4.8,105,7,52,111,785,93,10,14,27,58,15,3.35
HUN,AGHY,Loamy_Sand,5.1,101,4,14,60,942,138,9,11,85,8,7,4.28
HUN,POAU,Loamy_Sand,5.8,100,2,15,43,814,76,10,9,81,14,5,2.94
HUN,ELVI,Loamy_Sand,5.6,100,3,8,30,637,75,7,8,87,8,5,2.35
COL,AGHY,Sandy_Loam,5.5,135,18,12,152,1754,245,15,13,63,22,15,3.82
COL,POAU,Sandy_Loam,5.8,140,24,17,144,2018,239,16,16,65,22,13,6.77
COL,ELVI,Sandy_Loam,5.4,109,15,12,163,1732,252,14,20,61,22,17,4.70
BAS,AGHY,Sandy_Loam,5.7,104,1,21,105,958,163,12,10,55,34,11,3.22
BAS,POAU,Loam,5.6,107,13,3,184,1793,317,15,11,49,30,21,5.59
BAS,ELVI,Sandy_Loam,5.6,109,13,9,158,1697,283,15,10,59,24,17,4.29
KER,AGHY,Sand_Clay_Loam,7.9,210,23,5,207,19217,173,107,12,48,18,34,5.89
KER,POAU,Sand_Clay_Loam,7.7,122,21,6,249,18667,167,121,19,50,16,34,4.91
KER,ELVI,Clay_Loam,7.7,178,19,8,260,18407,177,116,18,44,18,38,6.90
BFL,AGHY,Sandy_Loam,6.6,154,24,9,204,2400,239,22,16,70,14,16,3.98
BFL,POAU,Sandy_Loam,6.4,148,38,20,206,1775,233,20,17,66,26,8,5.89
BFL,ELVI,Sandy_Loam,6.2,133,29,15,179,1682,239,18,17,68,20,12,4.74
SON,AGHY,Clay_Loam,7.7,218,11,11,291,12237,178,76,17,44,28,28,5.84
SON,ELVI,Clay_Loam,7.7,194,9,15,329,12194,224,78,16,38,34,28,8.60