Species,latitude,longitude,site_code
AGHY,30.30477303,-92.01240069,LAF
AGHY,30.74281484,-95.47688089,HUN
AGHY,30.56930222,-96.36632391,COL
AGHY,30.09234333,-97.17244217,BAS
AGHY,30.02843684,-99.14288812,KER
AGHY,30.2848659,-97.78067532,BFL
AGHY,30.27346727,-100.5614635,SON
ELVI,30.30477303,-92.01240069,LAF
ELVI,30.74281484,-95.47688089,HUN
ELVI,30.56930222,-96.36632391,COL
ELVI,30.09234333,-97.17244217,BAS
ELVI,30.02843684,-99.14288812,KER
ELVI,30.2848659,-97.78067532,BFL
ELVI,30.27346727,-100.5614635,SON
POAU,30.30477303,-92.01240069,LAF
POAU,30.74281484,-95.47688089,HUN
POAU,30.56930222,-96.36632391,COL
POAU,30.09234333,-97.17244217,BAS
POAU,30.02843684,-99.14288812,KER
POAU,30.2848659,-97.78067532,BFL