Tag_ID,Tiller_23,Inf_23,Spikelet_A,Spikelet_B,Spikelet_C,tiller_Herb
100,11,0,NA,NA,NA,0
101,11,0,NA,NA,NA,0
102,9,0,NA,NA,NA,4
103,9,0,NA,NA,NA,0
104,11,0,NA,NA,NA,0
105,12,0,NA,NA,NA,0
106,15,0,NA,NA,NA,1
107,21,0,NA,NA,NA,1
108,26,0,NA,NA,NA,0
109,13,4,44,36,47,0
110,10,4,42,53,30,0
111,25,0,NA,NA,NA,1
112,15,0,NA,NA,NA,0
113,13,0,NA,NA,NA,0
114,5,0,NA,NA,NA,0
115,11,9,NA,NA,NA,0
116,8,3,NA,NA,NA,0
117,3,1,NA,NA,NA,0
118,10,8,NA,NA,NA,6
119,8,3,NA,NA,NA,1
120,17,16,NA,NA,NA,0
121,2,0,NA,NA,NA,0
122,10,7,NA,NA,NA,0
123,5,1,NA,NA,NA,0
124,9,6,NA,NA,NA,0
125,16,11,NA,NA,NA,0
126,6,5,NA,NA,NA,1
127,14,1,NA,NA,NA,0
128,14,7,NA,NA,NA,0
129,5,0,NA,NA,NA,0
130,7,2,NA,NA,NA,0
131,8,5,NA,NA,NA,0
132,11,4,NA,NA,NA,0
133,16,10,NA,NA,NA,0
134,23,11,NA,NA,NA,0
135,11,4,NA,NA,NA,0
136,31,16,NA,NA,NA,0
137,14,2,NA,NA,NA,0
138,6,3,NA,NA,NA,0
139,7,3,NA,NA,NA,0
140,8,5,NA,NA,NA,0
141,15,9,NA,NA,NA,2
142,8,1,NA,NA,NA,0
143,12,2,NA,NA,NA,0
144,12,5,NA,NA,NA,0
145,19,5,20,32,27,0
146,12,4,NA,NA,NA,0
147,16,1,NA,NA,NA,0
148,14,2,NA,NA,NA,0
149,14,1,NA,NA,NA,0
150,14,0,NA,NA,NA,0
151,9,0,NA,NA,NA,0
152,8,0,NA,NA,NA,0
153,8,1,NA,NA,NA,0
154,31,0,NA,NA,NA,0
155,9,4,18,28,24,0
156,14,0,NA,NA,NA,0
157,8,5,38,NA,NA,0
158,13,0,NA,NA,NA,0
159,3,0,NA,NA,NA,0
160,24,6,NA,NA,NA,0
161,18,9,NA,NA,NA,0
162,23,16,NA,NA,NA,0
163,16,6,NA,NA,NA,0
164,29,6,NA,NA,NA,0
165,17,5,NA,NA,NA,0
166,18,7,NA,NA,NA,0
167,10,5,NA,NA,NA,0
168,11,6,NA,NA,NA,0
169,9,0,NA,NA,NA,0
170,24,15,NA,NA,NA,0
171,14,11,NA,NA,NA,0
172,43,7,NA,NA,NA,0
173,34,13,NA,NA,NA,0
174,17,7,NA,NA,NA,0
175,7,3,45,31,NA,0
176,11,3,NA,NA,NA,0
177,27,0,NA,NA,NA,0
178,8,0,NA,NA,NA,0
179,10,0,NA,NA,NA,0
180,7,4,21,22,20,0
181,8,0,NA,NA,NA,0
182,9,0,NA,NA,NA,0
183,14,0,NA,NA,NA,0
184,12,0,NA,NA,NA,0
185,9,0,NA,NA,NA,0
186,11,1,51,NA,NA,0
187,14,0,NA,NA,NA,0
188,20,0,NA,NA,NA,0
189,17,0,NA,NA,NA,0
190,18,3,NA,NA,NA,0
191,15,7,NA,NA,NA,0
192,14,2,NA,NA,NA,0
193,10,5,NA,NA,NA,0
194,5,1,NA,NA,NA,2
195,10,7,NA,NA,NA,0
196,4,1,NA,NA,NA,0
197,4,2,NA,NA,NA,0
198,24,13,NA,NA,NA,0
199,34,19,NA,NA,NA,0
200,29,12,NA,NA,NA,0
201,17,8,NA,NA,NA,0
202,20,9,NA,NA,NA,0
203,9,0,NA,NA,NA,0
204,14,7,NA,NA,NA,0
205,12,4,NA,NA,NA,0
206,9,6,NA,NA,NA,0
207,12,4,NA,NA,NA,0
208,3,3,NA,NA,NA,0
209,15,6,NA,NA,NA,0
210,6,5,NA,NA,NA,0
211,10,6,NA,NA,NA,0
212,3,1,NA,NA,NA,0
213,6,0,NA,NA,NA,4
214,11,5,NA,NA,NA,0
215,7,0,NA,NA,NA,0
216,9,0,NA,NA,NA,2
217,23,11,NA,NA,NA,0
218,16,4,NA,NA,NA,0
219,7,1,NA,NA,NA,0
220,4,3,NA,NA,NA,1
221,5,1,NA,NA,NA,0
222,13,7,NA,NA,NA,0
223,9,6,NA,NA,NA,0
224,10,4,NA,NA,NA,0
225,16,6,NA,NA,NA,0
226,5,0,NA,NA,NA,0
227,11,7,NA,NA,NA,0
228,18,11,NA,NA,NA,0
229,10,3,NA,NA,NA,0
230,7,3,NA,NA,NA,0
231,5,3,NA,NA,NA,0
232,15,8,NA,NA,NA,0
233,10,3,NA,NA,NA,0
234,76,38,NA,NA,NA,0
235,47,26,NA,NA,NA,0
236,57,39,NA,NA,NA,2
237,20,16,NA,NA,NA,3
238,36,6,NA,NA,NA,1
239,28,11,NA,NA,NA,7
240,25,5,NA,NA,NA,2
241,6,2,NA,NA,NA,0
242,10,5,NA,NA,NA,0
243,18,2,NA,NA,NA,3
244,29,3,NA,NA,NA,4
245,0,,NA,NA,NA,
246,35,5,NA,NA,NA,0
247,21,9,NA,NA,NA,0
248,15,3,NA,NA,NA,5
249,47,28,NA,NA,NA,0
250,22,17,NA,NA,NA,0
251,15,10,NA,NA,NA,0
252,13,10,NA,NA,NA,0
253,63,47,NA,NA,NA,0
254,32,15,NA,NA,NA,0
255,13,10,NA,NA,NA,0
256,34,18,NA,NA,NA,0
257,39,5,NA,NA,NA,0
258,23,14,NA,NA,NA,0
259,18,13,NA,NA,NA,0
260,33,11,NA,NA,NA,0
261,45,7,NA,NA,NA,0
262,47,7,NA,NA,NA,0
263,21,9,NA,NA,NA,0
264,6,3,18,45,27,0
265,16,0,NA,NA,NA,0
266,3,0,NA,NA,NA,0
267,14,4,NA,NA,NA,0
268,16,0,NA,NA,NA,0
269,4,0,NA,NA,NA,0
270,11,1,31,NA,NA,0
271,7,0,NA,NA,NA,0
272,1,1,NA,NA,NA,0
273,10,0,NA,NA,NA,0
274,6,4,26,43,35,0
275,12,0,NA,NA,NA,0
276,10,0,NA,NA,NA,0
277,12,0,NA,NA,NA,0
278,15,2,NA,NA,NA,3
279,16,5,48,34,49,0
280,19,6,NA,NA,NA,0
281,20,1,NA,NA,NA,0
282,2,0,NA,NA,NA,0
283,9,3,NA,NA,NA,0
284,24,6,NA,NA,NA,0
285,10,0,NA,NA,NA,0
286,12,5,NA,NA,NA,0
287,3,1,41,NA,NA,0
288,5,1,NA,NA,NA,0
289,18,0,NA,NA,NA,0
290,8,0,NA,NA,NA,0
291,6,0,NA,NA,NA,0
292,12,6,59,29,53,0
293,17,4,NA,NA,NA,0
294,9,0,NA,NA,NA,0
295,6,0,NA,NA,NA,0
296,3,0,NA,NA,NA,0
297,10,0,NA,NA,NA,0
298,9,0,NA,NA,NA,0
299,7,0,NA,NA,NA,0
300,7,2,29,19,NA,0
301,25,3,NA,NA,NA,0
302,38,19,NA,NA,NA,1
303,58,17,NA,NA,NA,0
304,23,3,NA,NA,NA,0
305,41,16,NA,NA,NA,0
306,7,1,NA,NA,NA,0
307,15,7,NA,NA,NA,0
308,42,15,NA,NA,NA,0
309,41,27,NA,NA,NA,0
310,17,11,NA,NA,NA,0
311,8,5,NA,NA,NA,0
312,64,51,NA,NA,NA,0
313,20,13,NA,NA,NA,0
314,38,24,NA,NA,NA,0
315,64,37,NA,NA,NA,0
316,42,27,NA,NA,NA,0
317,96,45,NA,NA,NA,0
318,79,56,NA,NA,NA,0
319,59,37,NA,NA,NA,0
320,33,13,NA,NA,NA,0
321,28,3,NA,NA,NA,0
322,55,12,NA,NA,NA,0
323,54,37,NA,NA,NA,0
324,27,5,NA,NA,NA,0
325,34,25,NA,NA,NA,3
326,103,28,NA,NA,NA,0
327,41,13,NA,NA,NA,0
328,49,31,NA,NA,NA,0
329,26,19,NA,NA,NA,0
330,29,7,NA,NA,NA,0
331,30,22,NA,NA,NA,10
332,53,23,NA,NA,NA,4
333,53,21,NA,NA,NA,3
334,12,8,NA,NA,NA,6
335,34,5,NA,NA,NA,0
336,48,21,NA,NA,NA,2
337,61,9,NA,NA,NA,4
338,54,38,NA,NA,NA,0
339,25,7,NA,NA,NA,1
340,52,3,NA,NA,NA,7
341,62,47,NA,NA,NA,15
342,84,67,NA,NA,NA,0
343,19,3,NA,NA,NA,2
344,5,0,NA,NA,NA,0
345,8,0,NA,NA,NA,0
346,12,0,NA,NA,NA,0
347,10,1,NA,NA,NA,0
348,13,0,NA,NA,NA,0
349,9,0,NA,NA,NA,0
350,12,1,NA,NA,NA,0
351,7,3,31,42,18,0
352,6,4,NA,NA,NA,0
353,13,1,NA,NA,NA,0
354,15,6,41,41,27,0
355,4,1,28,NA,NA,0
356,13,0,NA,NA,NA,0
357,12,1,NA,NA,NA,0
358,2,0,NA,NA,NA,0
359,32,29,NA,NA,NA,2
360,12,3,NA,NA,NA,1
361,30,12,NA,NA,NA,0
362,36,5,NA,NA,NA,1
363,34,18,NA,NA,NA,3
364,23,3,NA,NA,NA,4
365,39,1,NA,NA,NA,7
366,63,12,NA,NA,NA,7
367,37,24,NA,NA,NA,5
368,34,18,NA,NA,NA,6
369,18,1,NA,NA,NA,3
370,22,2,NA,NA,NA,4
371,63,47,NA,NA,NA,0
372,67,31,NA,NA,NA,0
373,36,23,NA,NA,NA,2
374,15,8,NA,NA,NA,5
375,19,8,NA,NA,NA,4
376,10,0,NA,NA,NA,2
377,18,0,NA,NA,NA,0
378,19,10,NA,NA,NA,0
379,41,22,NA,NA,NA,0
380,25,5,NA,NA,NA,14
381,22,0,NA,NA,NA,4
382,36,16,NA,NA,NA,0
383,69,33,NA,NA,NA,0
384,8,7,NA,NA,NA,0
385,31,13,NA,NA,NA,3
386,41,36,NA,NA,NA,0
387,44,36,NA,NA,NA,0
388,33,5,NA,NA,NA,0
389,4,0,NA,NA,NA,0
390,12,8,31,54,22,0
391,14,1,NA,NA,NA,0
392,22,9,NA,NA,NA,0
393,7,3,NA,NA,NA,0
394,9,0,NA,NA,NA,0
395,12,5,NA,NA,NA,0
396,12,3,23,16,32,0
397,5,1,NA,NA,NA,0
398,27,0,NA,NA,NA,0
399,19,0,NA,NA,NA,0
400,19,0,NA,NA,NA,0
401,7,2,54,9,NA,0
402,14,0,NA,NA,NA,0
403,0,,NA,NA,NA,0
404,44,19,NA,NA,NA,0
405,34,29,NA,NA,NA,0
406,24,6,NA,NA,NA,0
407,52,13,NA,NA,NA,0
408,48,13,NA,NA,NA,0
409,63,45,NA,NA,NA,0
410,58,30,NA,NA,NA,0
411,32,24,NA,NA,NA,0
412,66,47,NA,NA,NA,0
413,27,19,NA,NA,NA,0
414,63,51,NA,NA,NA,0
415,72,52,NA,NA,NA,0
416,62,42,NA,NA,NA,0
417,65,47,NA,NA,NA,0
418,44,23,NA,NA,NA,0
419,17,0,NA,NA,NA,0
420,21,0,NA,NA,NA,0
421,14,0,NA,NA,NA,0
422,19,6,32,16,20,0
423,5,1,NA,NA,NA,0
424,14,9,NA,NA,NA,0
425,5,0,NA,NA,NA,0
426,11,1,NA,NA,NA,0
427,8,4,NA,NA,NA,0
428,17,6,28,18,24,4
429,12,0,NA,NA,NA,0
430,7,3,21,20,NA,
431,14,0,NA,NA,NA,2
432,4,2,NA,NA,NA,0
433,13,1,NA,NA,NA,0
434,26,5,32,37,33,0
435,39,0,NA,NA,NA,0
436,9,7,33,31,21,0
437,17,9,NA,NA,NA,0
438,23,2,NA,NA,NA,0
439,21,0,NA,NA,NA,0
440,9,5,NA,NA,NA,0
441,14,0,NA,NA,NA,0
442,13,8,NA,NA,NA,0
443,22,5,NA,NA,NA,0
444,21,0,NA,NA,NA,0
445,9,6,33,53,41,0
446,22,0,NA,NA,NA,0
447,17,0,NA,NA,NA,0
448,14,6,NA,NA,NA,0
449,23,1,NA,NA,NA,0
450,22,1,NA,NA,NA,4
451,14,1,NA,NA,NA,0
452,26,7,44,32,34,0
453,31,0,NA,NA,NA,0
454,24,0,NA,NA,NA,0
455,12,1,NA,NA,NA,0
456,11,5,NA,NA,NA,0
457,7,1,NA,NA,NA,0
458,20,0,NA,NA,NA,0
459,12,6,48,32,51,0
460,25,4,33,25,23,0
461,38,0,NA,NA,NA,0
462,25,2,NA,NA,NA,0
463,50,11,40,36,52,0
464,29,1,NA,NA,NA,3
465,19,2,NA,NA,NA,0
466,6,1,NA,NA,NA,0
467,33,8,NA,NA,NA,0
468,16,9,NA,NA,NA,0
469,27,6,NA,NA,NA,4
470,12,7,NA,NA,NA,3
471,17,8,48,33,8,0
472,42,0,NA,NA,NA,0
473,25,2,NA,NA,NA,0
474,23,4,NA,NA,NA,0
475,8,2,NA,NA,NA,0
476,48,8,36,39,32,0
477,29,0,NA,NA,NA,0
478,2,0,NA,NA,NA,2
479,7,1,NA,NA,NA,0
480,9,0,NA,NA,NA,0
481,12,0,NA,NA,NA,0
482,7,0,NA,NA,NA,0
483,6,1,NA,NA,NA,3
484,7,0,NA,NA,NA,0
485,6,1,20,NA,NA,0
486,9,0,NA,NA,NA,0
487,34,0,NA,NA,NA,0
488,3,2,26,22,NA,0
489,9,0,NA,NA,NA,0
490,8,0,NA,NA,NA,8
491,11,0,NA,NA,NA,11
492,6,0,NA,NA,NA,0
493,2,0,NA,NA,NA,0
494,3,0,NA,NA,NA,3
495,6,0,NA,NA,NA,6
496,2,0,NA,NA,NA,2
497,13,0,NA,NA,NA,13
498,9,0,NA,NA,NA,9
499,14,0,NA,NA,NA,14
500,3,0,NA,NA,NA,0
501,24,2,NA,NA,NA,0
502,6,1,NA,NA,NA,1
503,10,0,NA,NA,NA,0
504,11,0,NA,NA,NA,0
505,12,4,27,31,19,3
506,8,3,33,37,NA,0
507,2,0,NA,NA,NA,2
508,10,5,NA,NA,NA,3
509,3,1,NA,NA,NA,2
510,23,8,30,31,NA,0
511,12,2,NA,NA,NA,0
512,25,5,NA,NA,NA,0
513,16,0,NA,NA,NA,1
514,17,1,NA,NA,NA,2
515,3,0,NA,NA,NA,3
516,15,2,NA,NA,NA,0
517,8,4,5,6,8,2
518,8,0,NA,NA,NA,2
519,5,0,NA,NA,NA,0
520,11,0,NA,NA,NA,2
521,5,1,NA,NA,NA,3
522,8,1,57,NA,NA,3
523,6,0,NA,NA,NA,1
524,5,0,NA,NA,NA,3
525,10,2,NA,NA,NA,1
526,6,0,NA,NA,NA,0
527,7,4,30,35,31,1
528,10,7,NA,NA,NA,1
529,2,0,NA,NA,NA,2
530,7,5,NA,NA,NA,2
531,12,1,NA,NA,NA,0
532,6,1,NA,NA,NA,6
533,4,2,NA,NA,NA,3
534,7,6,32,29,35,2
535,6,0,NA,NA,NA,2
536,13,2,NA,NA,NA,1
537,6,0,NA,NA,NA,3
538,6,0,NA,NA,NA,1
539,8,3,35,47,38,3
540,4,1,NA,NA,NA,3
541,7,4,NA,NA,NA,1
542,9,0,NA,NA,NA,1
543,9,1,NA,NA,NA,4
544,12,5,31,41,27,4
545,6,1,NA,NA,NA,1
546,4,0,NA,NA,NA,3
547,8,4,37,47,NA,2
548,2,1,NA,NA,NA,2
549,14,0,NA,NA,NA,5
550,9,0,NA,NA,NA,1
551,9,0,NA,NA,NA,0
552,7,0,NA,NA,NA,2
553,9,0,NA,NA,NA,2
554,9,0,NA,NA,NA,1
555,8,0,NA,NA,NA,1
556,23,2,30,NA,NA,2
557,7,0,NA,NA,NA,0
558,16,0,NA,NA,NA,0
559,6,0,NA,NA,NA,2
560,16,0,NA,NA,NA,2
561,14,5,44,38,36,4
562,15,9,NA,NA,NA,0
563,16,5,NA,NA,NA,0
564,19,0,NA,NA,NA,0
565,25,4,NA,NA,NA,0
566,15,8,NA,NA,NA,0
567,29,23,NA,NA,NA,0
568,19,7,NA,NA,NA,0
569,2,0,NA,NA,NA,0
570,20,9,NA,NA,NA,0
571,11,1,NA,NA,NA,0
572,15,7,NA,NA,NA,0
573,10,4,NA,NA,NA,0
574,13,10,NA,NA,NA,0
575,13,9,NA,NA,NA,0
576,8,2,NA,NA,NA,0
577,13,2,NA,NA,NA,0
578,6,6,NA,NA,NA,0
579,8,3,NA,NA,NA,0
580,7,4,NA,NA,NA,0
581,8,6,NA,NA,NA,0
582,4,1,NA,NA,NA,0
583,5,4,NA,NA,NA,0
584,16,7,NA,NA,NA,0
585,8,5,NA,NA,NA,0
586,6,2,NA,NA,NA,0
587,8,7,NA,NA,NA,0
588,21,7,NA,NA,NA,0
589,6,4,NA,NA,NA,0
590,5,5,NA,NA,NA,0
591,15,7,NA,NA,NA,0
592,9,7,NA,NA,NA,0
595,8,0,NA,NA,NA,0
596,10,3,21,13,NA,0
599,10,2,NA,NA,NA,2
600,17,10,NA,NA,NA,0
601,4,0,NA,NA,NA,2
602,11,0,NA,NA,NA,1
603,11,0,NA,NA,NA,1
604,16,0,NA,NA,NA,0
605,19,0,NA,NA,NA,0
606,15,6,37,44,36,2
607,5,3,NA,NA,NA,0
608,23,0,NA,NA,NA,0
609,11,0,NA,NA,NA,2
610,15,4,63,45,28,0
611,12,2,NA,NA,NA,1
612,1,0,NA,NA,NA,0
613,11,6,51,33,NA,3
614,7,0,NA,NA,NA,1
615,36,0,NA,NA,NA,2
616,6,0,NA,NA,NA,1
617,3,0,NA,NA,NA,1
618,2,0,NA,NA,NA,2
619,35,0,NA,NA,NA,2
620,5,0,NA,NA,NA,0
621,13,0,NA,NA,NA,2
622,5,1,30,NA,NA,1
623,2,1,NA,NA,NA,0
624,5,1,NA,NA,NA,2
625,7,0,NA,NA,NA,2
626,12,5,43,16,33,2
627,5,0,NA,NA,NA,0
628,8,1,35,NA,NA,2
629,13,2,NA,NA,NA,0
630,12,0,NA,NA,NA,4
631,11,6,38,42,27,2
632,5,0,NA,NA,NA,2
633,18,0,NA,NA,NA,2
634,10,0,NA,NA,NA,1
635,8,4,NA,NA,NA,4
636,11,0,NA,NA,NA,4
637,17,0,NA,NA,NA,2
638,9,0,NA,NA,NA,2
639,7,0,NA,NA,NA,2
640,8,1,NA,NA,NA,3
641,13,3,NA,NA,NA,2
642,15,0,NA,NA,NA,3
643,23,4,59,44,NA,2
644,7,0,NA,NA,NA,2
645,25,19,NA,NA,NA,0
646,15,9,NA,NA,NA,1
647,24,13,NA,NA,NA,0
648,20,10,NA,NA,NA,0
649,20,4,NA,NA,NA,0
650,30,13,NA,NA,NA,0
651,13,7,NA,NA,NA,0
652,26,12,NA,NA,NA,0
653,19,8,NA,NA,NA,0
654,30,16,NA,NA,NA,0
655,25,5,NA,NA,NA,0
656,29,14,NA,NA,NA,0
657,28,16,NA,NA,NA,0
658,26,11,NA,NA,NA,0
659,15,11,NA,NA,NA,0
660,29,7,NA,NA,NA,8
661,21,4,NA,NA,NA,12
662,12,2,NA,NA,NA,2
663,16,7,NA,NA,NA,4
664,10,5,NA,NA,NA,3
665,24,4,NA,NA,NA,4
666,11,7,NA,NA,NA,0
667,6,6,NA,NA,NA,2
668,19,2,NA,NA,NA,3
669,23,8,NA,NA,NA,2
670,16,6,NA,NA,NA,4
671,9,5,NA,NA,NA,0
672,13,6,NA,NA,NA,1
673,18,12,NA,NA,NA,1
674,25,7,NA,NA,NA,0
675,6,4,NA,NA,NA,1
676,9,1,NA,NA,NA,5
677,9,6,NA,NA,NA,0
678,21,5,NA,NA,NA,0
679,5,2,NA,NA,NA,1
680,15,3,NA,NA,NA,9
681,15,13,NA,NA,NA,1
682,14,12,NA,NA,NA,0
683,10,6,NA,NA,NA,3
684,6,5,NA,NA,NA,1
685,8,2,NA,NA,NA,1
686,10,2,NA,NA,NA,0
687,22,4,NA,NA,NA,10
688,24,8,NA,NA,NA,3
689,21,10,NA,NA,NA,6
690,14,7,NA,NA,NA,3
691,15,12,NA,NA,NA,0
692,15,5,NA,NA,NA,8
693,25,14,NA,NA,NA,2
694,13,5,NA,NA,NA,1
695,17,14,NA,NA,NA,1
696,4,3,NA,NA,NA,1
697,32,24,NA,NA,NA,2
698,11,6,NA,NA,NA,0
699,5,5,NA,NA,NA,0
700,38,27,NA,NA,NA,0
701,22,20,NA,NA,NA,0
702,10,7,NA,NA,NA,0
703,21,14,NA,NA,NA,0
704,16,8,NA,NA,NA,0
705,18,6,NA,NA,NA,0
706,12,5,NA,NA,NA,0
707,21,15,NA,NA,NA,0
708,10,7,NA,NA,NA,0
709,21,9,NA,NA,NA,0
710,26,2,NA,NA,NA,0
711,10,4,NA,NA,NA,0
712,24,6,NA,NA,NA,0
713,10,8,NA,NA,NA,0
